OrderID,OrderDate,Region,ProductCategory,ProductName,Quantity,UnitPrice,Discount
ORD-001,2024-01-15,North,Electronics,Laptop,2,80000,0.05
ORD-002,2024-01-16,North,Electronics,Headphones,3,5000,0.00
ORD-003,2024-01-17,South,Furniture,Office Chair,1,15000,0.10
ORD-004,2024-01-18,East,Clothing,Jeans,4,2500,0.00
ORD-005,2024-01-19,West,Electronics,Monitor,2,25000,0.05
ORD-006,2024-01-20,South,Electronics,Keyboard,5,3000,0.00
ORD-007,2024-01-21,North,Clothing,T-Shirt,6,1200,0.00
ORD-008,2024-01-22,East,Electronics,Laptop,1,80000,0.10
ORD-009,2024-01-23,West,Furniture,Desk,1,35000,0.05
ORD-010,2024-01-24,North,Electronics,Mouse,4,800,0.00
ORD-011,2024-02-01,South,Electronics,Headphones,2,5000,0.10
ORD-012,2024-02-02,East,Furniture,Office Chair,3,15000,0.00
ORD-013,2024-02-03,West,Clothing,Jeans,2,2500,0.05
ORD-014,2024-02-04,North,Electronics,Monitor,1,25000,0.00
ORD-015,2024-02-05,South,Clothing,T-Shirt,5,1200,0.00
ORD-016,2024-02-06,East,Electronics,Keyboard,2,3000,0.10
ORD-017,2024-02-07,West,Electronics,Laptop,1,80000,0.00
ORD-018,2024-02-08,North,Furniture,Desk,2,35000,0.05
ORD-019,2024-02-09,South,Electronics,Mouse,3,800,0.00
ORD-020,2024-02-10,East,Clothing,Jeans,4,2500,0.10
ORD-021,2024-03-01,West,Electronics,Headphones,2,5000,0.00
ORD-022,2024-03-02,North,Furniture,Office Chair,1,15000,0.05
ORD-023,2024-03-03,South,Electronics,Monitor,2,25000,0.00
ORD-024,2024-03-04,East,Clothing,T-Shirt,3,1200,0.00
ORD-025,2024-03-05,West,Electronics,Keyboard,4,3000,0.10
ORD-026,2024-03-06,North,Electronics,Laptop,1,80000,0.00
ORD-027,2024-03-07,South,Furniture,Desk,1,35000,0.05
ORD-028,2024-03-08,East,Electronics,Mouse,5,800,0.00
ORD-029,2024-03-09,West,Clothing,Jeans,2,2500,0.00
ORD-030,2024-03-10,North,Electronics,Headphones,3,5000,0.05
